Attendee,Connor,school,connor.burns@mail.utoronto.ca
Organizer,Bonnor,school,bonnor.burns@mail.utoronto.ca
Speaker,Nathan,coding123,nathan@mail.com
Attendee,Sal,ilovecs,sal@hotmail.com
Speaker,Daniel,password456,dantheman@hotmail.com
Attendee,Arif,bossman236,arifthegod@mail.com
Organizer,Aryan,Adot207,aryan.whatsup@mail.com
Attendee,Shahmeer,timezone478,shasha@gmail.com
Attendee,Jolie,machinelearning236,jolie@whatsup.com
Attendee,Joe,ab,ab
Attendee,Jill,ad,ad
Speaker,James,aa,aa
Organizer,Jack,ac,ac
Speaker,David,dave13,dave@mail.com
Speaker,Larry,larrybarry,larry@mail.com
Speaker,Bill,billsmills,billsmills@gills.com
Speaker,Billybob,Yeti112,bigolbilly@gmail.com
